Target,Source,Years_Played,Nd_No_Years,Next_Inst,Years_Next_Inst,Coach_No_Years,Coach_Rk
Chuck Riley,Knute Rockne,1927,1,New Mexico,1931-1933,2,HC
Gus Dorais,Knute Rockne,1910-1913,4,Notre Dame,1919,1,AS
Gus Dorais,Knute Rockne,1910-1913,4,Gonzaga,1920-1924,5,HC
Stan Cofall,Knute Rockne,1914-1916,3,Wake Forest,1928,1,HC
Charlie Bachman,Knute Rockne,1914-1916,3,Florida,1928-1932,5,HC
Charlie Bachman,Knute Rockne,1914-1916,3,Kansas State,1920-1927,8,HC
Charlie Bachman,Knute Rockne,1914-1916,3,Michigan State,1933-1946,14,HC
Dutch Bergman,Knute Rockne,"1915-1916, 1919",3,Washington (NFL),1943,1,HC
Dutch Bergman,Knute Rockne,"1915-1916, 1919",3,Catholic,1930-1940,11,HC
Slip Madigan,Knute Rockne,1916-1917; 1919,3,Iowa,1943-1944,2,HC
Slip Madigan,Knute Rockne,1916-1917; 1919,3,St. Mary's,1921-1939,19,HC
"Maurice J. ""Clipper"" Smith",Knute Rockne,1917-1920,4,Gonzaga,1925-1928,4,HC
"Maurice J. ""Clipper"" Smith",Knute Rockne,1917-1920,4,Villanova,1936-1942,7,HC
Hunk Anderson,Knute Rockne,1918-1921,4,Notre Dame,1931-1933,2,HC
Hunk Anderson,Knute Rockne,1918-1921,4,NC State,1934-1936,2,HC
Buck Shaw,Knute Rockne,1919-1921,3,NC State,1924,1,HC
Earl Walsh,Knute Rockne,1919-1921,3,Fordham,1942,1,HC
Eddie Anderson,Knute Rockne,1919-1921,3,Iowa,1939-1949,2,HC
Buck Shaw,Knute Rockne,1919-1921,3,Philadelphia (NFL),1958-1960,2,HC
Buck Shaw,Knute Rockne,1919-1921,3,Nevada,1925-1958,4,HC
Chet A. Wynne,Knute Rockne,1919-1921,3,Auburn,1930-1933,4,HC
Chet A. Wynne,Knute Rockne,1919-1921,3,Kentucky,1934-1937,4,HC
Chet A. Wynne,Knute Rockne,1919-1921,3,Creighton,1923-1929,7,HC
Harry Mehre,Knute Rockne,1919-1921,3,Ole Miss,1938-1945,8,HC
Buck Shaw,Knute Rockne,1919-1921,3,49ers (NFL),1946-1954,9,HC
Harry Mehre,Knute Rockne,1919-1921,3,Georgia,1928-1937,10,HC
Tom Lieb,Knute Rockne,1919-1922,4,Florida,1940-1945,6,HC
Tom Lieb,Knute Rockne,1919-1922,4,Loyola Los Angeles,1930-1938,9,HC
Frank Thomas,Knute Rockne,1920-1922,3,Alabama,1931-1946,6,HC
Edgar Miller,Knute Rockne,1922-1924,3,Navy,1931-1933,2,HC
Don Miller,Knute Rockne,1922-1924,3,Georgia Tech,1925-1928,4,AS
Don Miller,Knute Rockne,1922-1924,3,Ohio State,1929-1932,4,AS
Adam Walsh,Knute Rockne,1922-1924,3,Santa Clara,1925-1928,4,HC
Jim Crowley,Knute Rockne,1922-1924,3,Michigan State,1928-1932,5,HC
Noble Kizer,Knute Rockne,1922-1924,3,Purdue,1930-1936,7,HC
Elmer Layden,Knute Rockne,1922-1924,3,Duquesne,1927-1933,7,HC
Elmer Layden,Knute Rockne,1922-1924,3,Notre Dame,1934-1940,7,HC
Chuck Collins,Knute Rockne,1922-1924,3,North Carolina,1926-1933,8,HC
Jim Crowley,Knute Rockne,1922-1924,3,Fordham,1933-1941,9,HC
Harry Stuhldreher,Knute Rockne,1922-1924,3,Wisconsin,1936-1948,9,HC
Harry Stuhldreher,Knute Rockne,1922-1924,3,Villanova,1925-1935,11,HC
Adam Walsh,Knute Rockne,1922-1924,3,Bowdoin,1935-1942; 1947-1958,18,HC
Joe Bach,Knute Rockne,1923-1924,2,Duquesne,1934,1,HC
John Weibel,Knute Rockne,1923-1924,2,Vanderbilt,1925-1926,2,AS
John Weibel,Knute Rockne,1923-1924,2,Duquesne,1927,1,AS
Joe Bach,Knute Rockne,1923-1924,2,Pittsburgh (NFL),1935-1936; 1952-1953,4,HC
Rex Enright,Knute Rockne,1923-1925,3,South Carolina,1938-1942; 1946-1955,15,HC
Larry Mullins,Knute Rockne,1927-1930,4,Loyola New Orleans,1937-1939,2,HC
Larry Mullins,Knute Rockne,1927-1930,4,St. Benedict's,1932-1936,5,HC
Larry Mullins,Knute Rockne,1927-1930,4,St. Ambrose,1940; 1947-1950,5,HC
Frank Leahy,Knute Rockne,1928-1930,3,Boston College,1939-1940,2,HC
Frank Carideo,Knute Rockne,1928-1930,3,Missouri,1932-1934,2,HC
Frank Leahy,Knute Rockne,1928-1930,3,Notre Dame,1941-1943; 1946-1953,11,HC
Marchmont Schwartz,Knute Rockne,1929-1931,3,Creighton,1935-1939,5,HC
Marchmont Schwartz,Knute Rockne,1929-1931,3,Stanford,1942-1950,9,HC
